api_name,direction,field_path,field_type,required,description,example_value,notes
ordersheet-list-daily,response,data[].orderItems[].deliveryChargeTypeName,string,Y,배송비 구분,유료,Possible: 유료/무료
ordersheet-list-daily,response,data[].orderItems[].upBundleVendorItemId,number,N,자동생성옵션 ID,,
ordersheet-list-daily,response,data[].orderItems[].upBundleVendorItemName,string,N,자동생성옵션 노출상품명,,
ordersheet-list-daily,response,data[].orderItems[].upBundleSize,number,N,자동생성옵션 개수,,
ordersheet-list-daily,response,data[].orderItems[].upBundleItem,boolean,N,자동생성옵션 아이템 여부,false,
ordersheet-list-daily,response,data[].orderItems[].canceled,boolean,Y,주문 취소 여부,false,
ordersheet-list-daily,response,data[].overseaShippingInfoDto,object,N,해외배송정보,(object),optional
ordersheet-list-daily,response,data[].overseaShippingInfoDto.personalCustomsClearanceCode,string,N,개인통관 고유부호,,optional; 민감 정보 가능
ordersheet-list-daily,response,data[].overseaShippingInfoDto.ordererSsn,string,N,미사용,,optional
ordersheet-list-daily,response,data[].overseaShippingInfoDto.ordererPhoneNumber,string,N,통관용 수신자 전화번호 (E.164),,
ordersheet-list-daily,response,data[].deliveryCompanyName,string,Y,택배사,CJ 대한통운,예: CJ 대한통운/한진택배
ordersheet-list-daily,response,data[].invoiceNumber,string,Y,운송장번호,340010913442,
ordersheet-list-daily,response,data[].inTrasitDateTime,string,N,출고일(발송일),2025-01-15T14:17:13.973885-08:00,ISO-8601
ordersheet-list-daily,response,data[].deliveredDate,string,N,배송완료일,2025-01-15T14:17:13.973885-08:00,ISO-8601
ordersheet-list-daily,response,data[].refer,string,Y,결제 위치,안드로이드앱,"Possible: 아이폰앱, 안드로이드앱, PC웹, 모바일웹"
ordersheet-list-daily,response,data[].shipmentType,string,Y,배송 유형,THIRD_PARTY,"Possible: THIRD_PARTY, CGF, CGF LITE"
ordersheet-list-daily,response,data[].isCod,boolean,Y,현금결제(착불/COD) 방식 여부,false,
ordersheet-list-daily,response,data[].extraProperties,object,N,주문 속성 기타 정보,(object),key:value 형식
ordersheet-list-daily,response,data[].extraProperties.taxReceiptInfo.receiptOption,string,N,영수증 옵션,PAPER,"Possible: PAPER, E-GUI"
ordersheet-list-daily,response,data[].extraProperties.taxReceiptInfo.appliedType,string,N,세금 계산서 유형,PERSONAL_COUPANG_MEMBER_CARRIER,"Possible: PERSONAL_COUPANG_MEMBER_CARRIER/PERSONAL_MOBILE_BARCODE_CARRIER/DONATION/BUSINESS"
ordersheet-list-daily,response,data[].extraProperties.taxReceiptInfo.appliedValue,string,N,통합 영수증 번호/정보,,appliedType에 따라 의미 다름; null/모바일바코드/기부번호/사업자등록번호
ordersheet-list-daily,response,data[].extraProperties.sameDayShipping,string,N,당일 배송 여부,"false","Possible: true, false (문자열)"
ordersheet-list-daily,response,data[].extraProperties.cutOffTimeHour,string,N,당일 배송 미적용 시간,"18","문자열; 10~23 또는 0"
ordersheet-list-daily,response,nextToken,string,Y,다음 페이지 요청 토큰,448537989,마지막 페이지면 빈 문자열
